pid,name,family_name,sex,father_pid,mother_pid,race,sex_code,race_code
166,Chulabhorn,ADULYADEJ.BHUMIBOL,F,859.0,143.0,latino hispanic,0,3
143,Sirikit,ADULYADEJ.BHUMIBOL,F,,,asian,0,0
859,Adulyadej Bhumibol,ADULYADEJ.BHUMIBOL,M,,142.0,indian,1,2
201,Stringhorn,ADULYADEJ.BHUMIBOL,F,859.0,143.0,asian,0,0
615,Maha,ADULYADEJ.BHUMIBOL,M,859.0,143.0,latino hispanic,1,3
164,Ubolratana,ADULYADEJ.BHUMIBOL,F,859.0,143.0,asian,0,0
1022,Phoenix,AFFLECK.BEN,F,,,white,0,5
266,Violet,AFFLECK.BEN,F,78.0,813.0,white,0,5
78,Ben,AFFLECK.BEN,M,36.0,,white,1,5
447,Seraphina,AFFLECK.BEN,F,78.0,813.0,white,0,5
470,Atticus,AFFLECK.BEN,M,888.0,1022.0,white,1,5
813,Jennifer,AFFLECK.BEN,F,,,white,0,5
888,Casey,AFFLECK.BEN,M,36.0,,white,1,5
6,Andres,ARANGO.ANDRES.PASTRANA,M,,,middle eastern,1,4
487,Laura,ARANGO.ANDRES.PASTRANA,F,6.0,419.0,indian,0,2
419,Nohra,ARANGO.ANDRES.PASTRANA,F,,,white,0,5
578,Santiago,ARANGO.ANDRES.PASTRANA,M,6.0,419.0,asian,1,0
446,Valentina,ARANGO.ANDRES.PASTRANA,F,6.0,419.0,latino hispanic,0,3
948,Grace,ARMSTRONG.LANCE,F,766.0,778.0,white,0,5
849,Isabelle,ARMSTRONG.LANCE,F,766.0,778.0,white,0,5
778,Kristin,ARMSTRONG.LANCE,F,,,white,0,5
249,Olivia,ARMSTRONG.LANCE,F,766.0,286.0,white,0,5
286,Anna,ARMSTRONG.LANCE,F,,,white,0,5
766,Lance,ARMSTRONG.LANCE,M,,,white,1,5
804,Frederic,ARNAULT.BERNARD,M,652.0,335.0,white,1,5
652,Bernard,ARNAULT.BERNARD,M,,,latino hispanic,1,3
335,Helene,ARNAULT.BERNARD,F,,,white,0,5
800,Alex,ARNAULT.BERNARD,M,652.0,335.0,white,1,5
276,Baranski Christine,BARANSKI.CHRISTINE,F,,,white,0,5
529,Lily Cowles,BARANSKI.CHRISTINE,F,984.0,276.0,white,0,5
950,Gloria,BARNES.MATT,F,,,latino hispanic,0,3
172,Carter,BARNES.MATT,M,311.0,950.0,black,1,1
171,Isiah,BARNES.MATT,M,311.0,950.0,black,1,1
311,Barnes Matt,BARNES.MATT,M,,,black,1,1
989,Sean,BEAN.SEAN,M,,,white,1,5
465,Molly,BEAN.SEAN,F,989.0,646.0,white,0,5
466,Lorna,BEAN.SEAN,F,989.0,646.0,white,0,5
646,Melanie,BEAN.SEAN,F,,,white,0,5
786,Madeline,BEAVER.CECILY,F,20.0,927.0,white,0,5
927,Cecily,BEAVER.CECILY,F,,,white,0,5
20,Jim,BEAVER.CECILY,M,,,white,1,5
303,Romeo Beckham,BECKHAM.DAVID,M,1070.0,322.0,white,1,5
254,Cruz,BECKHAM.DAVID,M,1070.0,322.0,white,1,5
1070,David,BECKHAM.DAVID,M,,,white,1,5
241,Harper,BECKHAM.DAVID,F,1070.0,322.0,white,0,5
322,Victoria,BECKHAM.DAVID,F,,,white,0,5
308,Brooklyn,BECKHAM.DAVID,M,1070.0,322.0,white,1,5
521,Lily Mo Sheen,BECKINSDALE.KATE,F,4.0,441.0,white,0,5
675,Judy,BECKINSDALE.KATE,F,,,white,0,5
936,Richard,BECKINSDALE.KATE,M,,,white,1,5
441,Beckinsale Kate,BECKINSDALE.KATE,F,936.0,675.0,white,0,5
291,John,BRADY-BUNDCHEN,M,1097.0,498.0,white,1,5
498,Gisele,BRADY-BUNDCHEN,F,,,white,0,5
434,Galynn,BRADY-BUNDCHEN,F,,,white,0,5
1097,Brady,BRADY-BUNDCHEN,M,744.0,434.0,white,1,5
744,Tom Sr.,BRADY-BUNDCHEN,M,,,white,1,5
257,Benjamin,BRADY-BUNDCHEN,M,1097.0,498.0,white,1,5
755,Harold,BRAFF.ZACH,M,,,white,1,5
1112,Zach,BRAFF.ZACH,M,755.0,377.0,white,1,5
1064,Adam,BRAFF.ZACH,M,755.0,377.0,white,1,5
377,Anne,BRAFF.ZACH,F,,,white,0,5
944,Joshua,BRAFF.ZACH,M,755.0,377.0,white,1,5
836,Beatriz,Bonner.William,F,628.0,651.0,white,0,5
450,Laura,Bonner.William,F,628.0,651.0,white,0,5
628,William,Bonner.William,M,,,latino hispanic,1,3
651,Fatima,Bonner.William,F,,,white,0,5
371,Vinicius,Bonner.William,M,628.0,651.0,white,1,5
