f_pid,f_iid,m_pid,m_iid,c_pid,c_iid
984,6702,276,332,529,347
984,6702,276,332,529,348
984,6702,276,332,529,349
984,6702,276,332,529,350
984,6702,276,332,529,351
984,6702,276,332,529,352
984,6702,276,332,529,353
984,6702,276,332,529,354
984,6702,276,332,529,355
984,6702,276,332,529,356
984,6702,276,332,529,357
984,6702,276,332,529,358
984,6702,276,332,529,359
984,6702,276,332,529,360
984,6702,276,332,529,361
984,6702,276,332,529,363
984,6702,276,333,529,347
984,6702,276,333,529,348
984,6702,276,333,529,349
984,6702,276,333,529,350
984,6702,276,333,529,351
984,6702,276,333,529,352
984,6702,276,333,529,353
984,6702,276,333,529,354
984,6702,276,333,529,355
984,6702,276,333,529,356
984,6702,276,333,529,357
984,6702,276,333,529,358
984,6702,276,333,529,359
984,6702,276,333,529,360
984,6702,276,333,529,361
984,6702,276,333,529,363
984,6702,276,334,529,347
984,6702,276,334,529,348
984,6702,276,334,529,349
984,6702,276,334,529,350
984,6702,276,334,529,351
984,6702,276,334,529,352
984,6702,276,334,529,353
984,6702,276,334,529,354
984,6702,276,334,529,355
984,6702,276,334,529,356
984,6702,276,334,529,357
984,6702,276,334,529,358
984,6702,276,334,529,359
984,6702,276,334,529,360
984,6702,276,334,529,361
984,6702,276,334,529,363
984,6702,276,335,529,347
984,6702,276,335,529,348
984,6702,276,335,529,349
984,6702,276,335,529,350
984,6702,276,335,529,351
984,6702,276,335,529,352
984,6702,276,335,529,353
984,6702,276,335,529,354
984,6702,276,335,529,355
984,6702,276,335,529,356
984,6702,276,335,529,357
984,6702,276,335,529,358
984,6702,276,335,529,359
984,6702,276,335,529,360
984,6702,276,335,529,361
984,6702,276,335,529,363
984,6702,276,336,529,347
984,6702,276,336,529,348
984,6702,276,336,529,349
984,6702,276,336,529,350
984,6702,276,336,529,351
984,6702,276,336,529,352
984,6702,276,336,529,353
984,6702,276,336,529,354
984,6702,276,336,529,355
984,6702,276,336,529,356
984,6702,276,336,529,357
984,6702,276,336,529,358
984,6702,276,336,529,359
984,6702,276,336,529,360
984,6702,276,336,529,361
984,6702,276,336,529,363
984,6702,276,338,529,347
984,6702,276,338,529,348
984,6702,276,338,529,349
984,6702,276,338,529,350
984,6702,276,338,529,351
984,6702,276,338,529,352
984,6702,276,338,529,353
984,6702,276,338,529,354
984,6702,276,338,529,355
984,6702,276,338,529,356
984,6702,276,338,529,357
984,6702,276,338,529,358
984,6702,276,338,529,359
984,6702,276,338,529,360
984,6702,276,338,529,361
984,6702,276,338,529,363
984,6702,276,339,529,347
984,6702,276,339,529,348
984,6702,276,339,529,349
984,6702,276,339,529,350
984,6702,276,339,529,351
984,6702,276,339,529,352
984,6702,276,339,529,353
984,6702,276,339,529,354
984,6702,276,339,529,355
984,6702,276,339,529,356
984,6702,276,339,529,357
984,6702,276,339,529,358
984,6702,276,339,529,359
984,6702,276,339,529,360
984,6702,276,339,529,361
984,6702,276,339,529,363
984,6702,276,340,529,347
984,6702,276,340,529,348
984,6702,276,340,529,349
984,6702,276,340,529,350
984,6702,276,340,529,351
984,6702,276,340,529,352
984,6702,276,340,529,353
984,6702,276,340,529,354
984,6702,276,340,529,355
984,6702,276,340,529,356
984,6702,276,340,529,357
984,6702,276,340,529,358
984,6702,276,340,529,359
984,6702,276,340,529,360
984,6702,276,340,529,361
984,6702,276,340,529,363
984,6702,276,341,529,347
984,6702,276,341,529,348
984,6702,276,341,529,349
984,6702,276,341,529,350
984,6702,276,341,529,351
984,6702,276,341,529,352
984,6702,276,341,529,353
984,6702,276,341,529,354
984,6702,276,341,529,355
984,6702,276,341,529,356
984,6702,276,341,529,357
984,6702,276,341,529,358
984,6702,276,341,529,359
984,6702,276,341,529,360
984,6702,276,341,529,361
984,6702,276,341,529,363
984,6702,276,342,529,347
984,6702,276,342,529,348
984,6702,276,342,529,349
984,6702,276,342,529,350
984,6702,276,342,529,351
984,6702,276,342,529,352
984,6702,276,342,529,353
984,6702,276,342,529,354
984,6702,276,342,529,355
984,6702,276,342,529,356
984,6702,276,342,529,357
984,6702,276,342,529,358
984,6702,276,342,529,359
984,6702,276,342,529,360
984,6702,276,342,529,361
984,6702,276,342,529,363
984,6702,276,343,529,347
984,6702,276,343,529,348
984,6702,276,343,529,349
984,6702,276,343,529,350
984,6702,276,343,529,351
984,6702,276,343,529,352
984,6702,276,343,529,353
984,6702,276,343,529,354
984,6702,276,343,529,355
984,6702,276,343,529,356
984,6702,276,343,529,357
984,6702,276,343,529,358
984,6702,276,343,529,359
984,6702,276,343,529,360
984,6702,276,343,529,361
984,6702,276,343,529,363
984,6702,276,344,529,347
984,6702,276,344,529,348
