f_pid,f_iid,m_pid,m_iid,c_pid,c_iid
859,35,143,23,166,18
859,35,143,23,166,22
859,35,143,24,166,18
859,35,143,24,166,22
859,35,143,26,166,18
859,35,143,26,166,22
859,35,143,27,166,18
859,35,143,27,166,22
859,35,143,28,166,18
859,35,143,28,166,22
859,35,143,29,166,18
859,35,143,29,166,22
859,35,143,30,166,18
859,35,143,30,166,22
859,35,143,31,166,18
859,35,143,31,166,22
859,35,143,32,166,18
859,35,143,32,166,22
859,35,143,33,166,18
859,35,143,33,166,22
859,36,143,23,166,18
859,36,143,23,166,22
859,36,143,24,166,18
859,36,143,24,166,22
859,36,143,26,166,18
859,36,143,26,166,22
859,36,143,27,166,18
859,36,143,27,166,22
859,36,143,28,166,18
859,36,143,28,166,22
859,36,143,29,166,18
859,36,143,29,166,22
859,36,143,30,166,18
859,36,143,30,166,22
859,36,143,31,166,18
859,36,143,31,166,22
859,36,143,32,166,18
859,36,143,32,166,22
859,36,143,33,166,18
859,36,143,33,166,22
859,37,143,23,166,18
859,37,143,23,166,22
859,37,143,24,166,18
859,37,143,24,166,22
859,37,143,26,166,18
859,37,143,26,166,22
859,37,143,27,166,18
859,37,143,27,166,22
859,37,143,28,166,18
859,37,143,28,166,22
859,37,143,29,166,18
859,37,143,29,166,22
859,37,143,30,166,18
859,37,143,30,166,22
859,37,143,31,166,18
859,37,143,31,166,22
859,37,143,32,166,18
859,37,143,32,166,22
859,37,143,33,166,18
859,37,143,33,166,22
859,40,143,23,166,18
859,40,143,23,166,22
859,40,143,24,166,18
859,40,143,24,166,22
859,40,143,26,166,18
859,40,143,26,166,22
859,40,143,27,166,18
859,40,143,27,166,22
859,40,143,28,166,18
859,40,143,28,166,22
859,40,143,29,166,18
859,40,143,29,166,22
859,40,143,30,166,18
859,40,143,30,166,22
859,40,143,31,166,18
859,40,143,31,166,22
859,40,143,32,166,18
859,40,143,32,166,22
859,40,143,33,166,18
859,40,143,33,166,22
859,41,143,23,166,18
859,41,143,23,166,22
859,41,143,24,166,18
859,41,143,24,166,22
859,41,143,26,166,18
859,41,143,26,166,22
859,41,143,27,166,18
859,41,143,27,166,22
859,41,143,28,166,18
859,41,143,28,166,22
859,41,143,29,166,18
859,41,143,29,166,22
859,41,143,30,166,18
859,41,143,30,166,22
859,41,143,31,166,18
859,41,143,31,166,22
859,41,143,32,166,18
859,41,143,32,166,22
859,41,143,33,166,18
859,41,143,33,166,22
859,45,143,23,166,18
859,45,143,23,166,22
859,45,143,24,166,18
859,45,143,24,166,22
859,45,143,26,166,18
859,45,143,26,166,22
859,45,143,27,166,18
859,45,143,27,166,22
859,45,143,28,166,18
859,45,143,28,166,22
859,45,143,29,166,18
859,45,143,29,166,22
859,45,143,30,166,18
859,45,143,30,166,22
859,45,143,31,166,18
859,45,143,31,166,22
859,45,143,32,166,18
859,45,143,32,166,22
859,45,143,33,166,18
859,45,143,33,166,22
859,46,143,23,166,18
859,46,143,23,166,22
859,46,143,24,166,18
859,46,143,24,166,22
859,46,143,26,166,18
859,46,143,26,166,22
859,46,143,27,166,18
859,46,143,27,166,22
859,46,143,28,166,18
859,46,143,28,166,22
859,46,143,29,166,18
859,46,143,29,166,22
859,46,143,30,166,18
859,46,143,30,166,22
859,46,143,31,166,18
859,46,143,31,166,22
859,46,143,32,166,18
859,46,143,32,166,22
859,46,143,33,166,18
859,46,143,33,166,22
859,48,143,23,166,18
859,48,143,23,166,22
859,48,143,24,166,18
859,48,143,24,166,22
859,48,143,26,166,18
859,48,143,26,166,22
859,48,143,27,166,18
859,48,143,27,166,22
859,48,143,28,166,18
859,48,143,28,166,22
859,48,143,29,166,18
859,48,143,29,166,22
859,48,143,30,166,18
859,48,143,30,166,22
859,48,143,31,166,18
859,48,143,31,166,22
859,48,143,32,166,18
859,48,143,32,166,22
859,48,143,33,166,18
859,48,143,33,166,22
859,50,143,23,166,18
859,50,143,23,166,22
859,50,143,24,166,18
859,50,143,24,166,22
859,50,143,26,166,18
859,50,143,26,166,22
859,50,143,27,166,18
859,50,143,27,166,22
859,50,143,28,166,18
859,50,143,28,166,22
859,50,143,29,166,18
859,50,143,29,166,22
859,50,143,30,166,18
859,50,143,30,166,22
859,50,143,31,166,18
859,50,143,31,166,22
859,50,143,32,166,18
859,50,143,32,166,22
859,50,143,33,166,18
859,50,143,33,166,22
859,51,143,23,166,18
859,51,143,23,166,22
859,51,143,24,166,18
859,51,143,24,166,22
859,51,143,26,166,18
859,51,143,26,166,22
859,51,143,27,166,18
859,51,143,27,166,22
859,51,143,28,166,18
859,51,143,28,166,22
859,51,143,29,166,18
859,51,143,29,166,22
859,51,143,30,166,18
859,51,143,30,166,22
859,51,143,31,166,18
859,51,143,31,166,22
859,51,143,32,166,18
859,51,143,32,166,22
859,51,143,33,166,18
859,51,143,33,166,22
859,53,143,23,166,18
859,53,143,23,166,22
859,53,143,24,166,18
859,53,143,24,166,22
859,53,143,26,166,18
859,53,143,26,166,22
859,53,143,27,166,18
859,53,143,27,166,22
859,53,143,28,166,18
859,53,143,28,166,22
859,53,143,29,166,18
859,53,143,29,166,22
859,53,143,30,166,18
859,53,143,30,166,22
859,53,143,31,166,18
859,53,143,31,166,22
859,53,143,32,166,18
859,53,143,32,166,22
859,53,143,33,166,18
859,53,143,33,166,22
859,54,143,23,166,18
859,54,143,23,166,22
859,54,143,24,166,18
859,54,143,24,166,22
859,54,143,26,166,18
859,54,143,26,166,22
859,54,143,27,166,18
859,54,143,27,166,22
859,54,143,28,166,18
859,54,143,28,166,22
859,54,143,29,166,18
859,54,143,29,166,22
859,54,143,30,166,18
859,54,143,30,166,22
859,54,143,31,166,18
859,54,143,31,166,22
859,54,143,32,166,18
859,54,143,32,166,22
859,54,143,33,166,18
859,54,143,33,166,22
859,55,143,23,166,18
859,55,143,23,166,22
859,55,143,24,166,18
859,55,143,24,166,22
859,55,143,26,166,18
859,55,143,26,166,22
859,55,143,27,166,18
859,55,143,27,166,22
859,55,143,28,166,18
859,55,143,28,166,22
859,55,143,29,166,18
859,55,143,29,166,22
859,55,143,30,166,18
859,55,143,30,166,22
859,55,143,31,166,18
859,55,143,31,166,22
859,55,143,32,166,18
859,55,143,32,166,22
859,55,143,33,166,18
859,55,143,33,166,22
859,35,143,23,201,59
859,35,143,23,201,60
859,35,143,24,201,59
859,35,143,24,201,60
859,35,143,26,201,59
859,35,143,26,201,60
859,35,143,27,201,59
859,35,143,27,201,60
859,35,143,28,201,59
859,35,143,28,201,60
859,35,143,29,201,59
859,35,143,29,201,60
859,35,143,30,201,59
859,35,143,30,201,60
859,35,143,31,201,59
859,35,143,31,201,60
859,35,143,32,201,59
859,35,143,32,201,60
859,35,143,33,201,59
859,35,143,33,201,60
859,36,143,23,201,59
859,36,143,23,201,60
859,36,143,24,201,59
859,36,143,24,201,60
859,36,143,26,201,59
859,36,143,26,201,60
859,36,143,27,201,59
859,36,143,27,201,60
859,36,143,28,201,59
859,36,143,28,201,60
859,36,143,29,201,59
859,36,143,29,201,60
859,36,143,30,201,59
859,36,143,30,201,60
859,36,143,31,201,59
859,36,143,31,201,60
859,36,143,32,201,59
859,36,143,32,201,60
859,36,143,33,201,59
859,36,143,33,201,60
859,37,143,23,201,59
859,37,143,23,201,60
859,37,143,24,201,59
859,37,143,24,201,60
859,37,143,26,201,59
859,37,143,26,201,60
859,37,143,27,201,59
859,37,143,27,201,60
859,37,143,28,201,59
859,37,143,28,201,60
859,37,143,29,201,59
859,37,143,29,201,60
859,37,143,30,201,59
859,37,143,30,201,60
859,37,143,31,201,59
859,37,143,31,201,60
859,37,143,32,201,59
859,37,143,32,201,60
859,37,143,33,201,59
859,37,143,33,201,60
859,40,143,23,201,59
859,40,143,23,201,60
859,40,143,24,201,59
859,40,143,24,201,60
859,40,143,26,201,59
859,40,143,26,201,60
859,40,143,27,201,59
859,40,143,27,201,60
859,40,143,28,201,59
859,40,143,28,201,60
859,40,143,29,201,59
859,40,143,29,201,60
859,40,143,30,201,59
859,40,143,30,201,60
859,40,143,31,201,59
859,40,143,31,201,60
859,40,143,32,201,59
859,40,143,32,201,60
859,40,143,33,201,59
859,40,143,33,201,60
859,41,143,23,201,59
859,41,143,23,201,60
859,41,143,24,201,59
859,41,143,24,201,60
859,41,143,26,201,59
859,41,143,26,201,60
859,41,143,27,201,59
859,41,143,27,201,60
859,41,143,28,201,59
859,41,143,28,201,60
859,41,143,29,201,59
859,41,143,29,201,60
859,41,143,30,201,59
859,41,143,30,201,60
859,41,143,31,201,59
859,41,143,31,201,60
859,41,143,32,201,59
859,41,143,32,201,60
859,41,143,33,201,59
859,41,143,33,201,60
859,45,143,23,201,59
859,45,143,23,201,60
859,45,143,24,201,59
859,45,143,24,201,60
